"October 2020 : UK Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","276","","","","","","","","",""
"Retired","405","","","","","","","","",""
"Rename","176","","","","","","","","",""
"Move","52","","","","","","","","",""
"Move & Rename","23","","","","","","","","",""
"Total","932","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"+","Antiques","","","","","","","20081","",""
"+","Art","","","","","","","550","",""
"","","","","Outboard Motors","","","","180132","All listings are being moved into [Boat Engines & Motors - 56422].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pliers & Hook Removers","","","","179997","",""
"","","","","Reel Cases & Storage","","","","179998","",""
"","","","","Rod Cases, Tubes & Racks","","","","81473","",""
"","","","","Rod Rests & Pods","","","","72665","",""
"","","","","Scales & Weighing Slings","","","","72667","",""
"","","","","Tackle Boxes & Bags","","","","22696","",""
"","","","","Underwater Cameras","","","","180000","",""
"","","","","Other Equipment","","","","27414","",""
"","","","Fishfinders & GPS","","","","","29723","",""
"","","-","Baits, Lures & Flies","","","","","179961","",""
"","","","","Attractants & Scents","","","","179962","Renamed from [Attractants & Dips]",""
"","","","","Flies","","","","23812","All listings are being moved into [Baits & Lures - 7300].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fly Tying Materials","","","","44912","The Category ID is being changed to [261034].","Please update your category ID accordingly."
"","","","","Jigs","","","","31690","All listings are being moved into [Baits & Lures - 7300].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Saltwater Lures","","","","36153","All listings are being moved into [Baits & Lures - 7300].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Soft Plastics","","","","31691","All listings are being moved into [Baits & Lures - 7300].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Spinnerbaits","","","","1493","All listings are being moved into [Baits & Lures - 7300].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Spoon Lures","","","","31692","All listings are being moved into [Baits & Lures - 7300].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Surface Lures & Poppers","","","","108161","All listings are being moved into [Baits & Lures - 7300].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Baits & Lures","","","","7300","Renamed from [Plugs/Crankbaits]",""
"","","","","Boilies & Pellets","","","","180128","",""
"","","","","Fly Tying Materials","","","","261034","New Category",""
"","","","","Fly Tying Vices & Tools","","","","44916","Renamed from [Fly Tying Tools]",""
"","","","","Live Bait","","","","179963","",""
"","","","","Mixed Lots","","","","179964","Renamed from [Mixed Sets]",""
"","","","","Tackle Craft","","","","165931","",""
"","","","","Other Baits, Lures & Flies","","","","31693","Renamed from [Other Baits & Lures]",""
"","","+","Clothes, Shoes & Accessories","","","","","179978","",""
"","","","Fishing Boats","","","","","112957","All listings are being moved into [Power Boats - 1296].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Line & Leaders","","","","","179965","",""
"","","","","Braided Line","","","","179966","All listings are being moved into [Fishing Lines & Leaders - 261033].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fluorocarbon Line","","","","179967","All listings are being moved into [Fishing Lines & Leaders - 261033].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fly Line, Leaders & Tippets","","","","23817","All listings are being moved into [Fishing Lines & Leaders - 261033].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Lead Core & Trolling Line","","","","179968","All listings are being moved into [Fishing Lines & Leaders - 261033].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Leaders & Leader Material","","","","179970","All listings are being moved into [Fishing Lines & Leaders - 261033].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Monofilament Line","","","","179969","All listings are being moved into [Fishing Lines & Leaders - 261033].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fishing Lines & Leaders","","","","261033","New Category",""
"","","","","Line Tools & Accessories","","","","179971","",""
"","","","","Other Fishing Line & Leaders","","","","179972","Renamed from [Other Line & Leaders]",""
"","","","Novelties & Gifts","","","","","62143","",""
"","","-","Reels","","","","","179950","The Category ID is being changed to [261030].","Please update your category ID accordingly."
"","","","","Centrepin Reels","","","","179951","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fly Reels","","","","23818","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Free Spool Reels","","","","56714","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Multiplier/Baitcasting Reels","","","","108153","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Sea Reels","","","","180092","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Spincasting Reels","","","","108154","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Spinning/Fixed Spool Reels","","","","36147","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Reels","","","","166159","All listings are being moved into [Reels - 261030].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Rods","","","","","179946","This Category is being retired.",""
"","","","","Boat & Trolling Rods","","","","56732","All listings are being moved into [Rods & Poles - 261028].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Casting Rods","","","","36149","All listings are being moved into [Rods & Poles - 261028].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Feeder & Picker Rods","","","","56740","All listings are being moved into [Rods & Poles - 261028].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fly Rods","","","","23819","All listings are being moved into [Rods & Poles - 261028].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Poles","","","","56743","All listings are being moved into [Rods & Poles - 261028].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Spinning Rods","","","","36150","All listings are being moved into [Rods & Poles - 261028].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Surf Rods","","","","56734","All listings are being moved into [Rods & Poles - 261028].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
